date,company,open,close
2013-10-07,Google,434.159149,433.303314
2013-10-07,Meta,50.73,50.52
2013-10-07,Tesla,12.164,12.204667
2013-10-08,Apple,17.497856,17.17643
2013-10-08,Google,433.093079,427.262268
2013-10-08,Meta,50.599998,47.139999
2013-10-08,Tesla,12.293333,11.648667
2013-10-09,Apple,17.308571,17.378214
2013-10-09,Google,428.568573,428.358368
2013-10-09,Meta,47.380001,46.77
2013-10-09,Tesla,11.648667,11.252
2013-10-10,Apple,17.547144,17.487143
2013-10-10,Google,432.352356,434.554565
2013-10-10,Meta,47.869999,49.049999
2013-10-10,Tesla,11.539333,11.528667
2013-10-11,Apple,17.3925,17.600357
2013-10-11,Google,433.448456,436.431427
2013-10-11,Meta,49.18,49.110001
2013-10-11,Tesla,11.516667,11.913333
2013-10-14,Apple,17.493929,17.715714
2013-10-14,Google,433.763763,438.4935
2013-10-14,Meta,48.310001,49.509998
2013-10-14,Tesla,11.666667,11.981333
2013-10-15,Apple,17.768213,17.809999
2013-10-15,Google,438.318329,441.446442
2013-10-15,Meta,49.990002,49.5
2013-10-15,Tesla,12.352,12.262667
2013-10-16,Apple,17.885357,17.896786
2013-10-16,Google,443.378387,449.464478
2013-10-16,Meta,50.040001,51.139999
2013-10-16,Tesla,12.326667,12.237333
2013-10-17,Apple,17.856428,18.017857
2013-10-17,Google,446.941956,444.839844
2013-10-17,Meta,51.119999,52.209999
2013-10-17,Tesla,12.236,12.186667
2013-10-18,Apple,18.071072,18.174643
2013-10-18,Google,488.778778,506.211212
2013-10-18,Meta,54.18,54.220001
2013-10-18,Tesla,12.276667,12.226667
2013-10-21,Apple,18.2775,18.620001
2013-10-21,Google,506.236237,502.152161
2013-10-21,Meta,54.68,53.849998
2013-10-21,Tesla,12.218667,11.506667
2013-10-22,Apple,18.800358,18.566786
2013-10-22,Google,503.002991,504.003998
2013-10-22,Meta,54.330002,52.68
2013-10-22,Tesla,11.366667,11.436
2013-10-23,Apple,18.535713,18.748571
2013-10-23,Google,501.001007,516.221191
2013-10-23,Meta,51.75,51.900002
2013-10-23,Tesla,11.260667,10.966667
2013-10-24,Apple,18.75,18.996786
2013-10-24,Google,516.451477,513.288269
2013-10-24,Meta,52.380001,52.450001
2013-10-24,Tesla,11.0,11.543333
2013-10-25,Apple,18.975714,18.784286
2013-10-25,Google,514.924927,508.108093
2013-10-25,Meta,53.18,51.950001
2013-10-25,Tesla,11.614,11.310667
2013-10-28,Apple,18.894285,18.924286
2013-10-28,Google,508.108093,508.007996
2013-10-28,Meta,51.540001,50.23
2013-10-28,Tesla,11.345333,10.857333
2013-10-29,Apple,19.1525,18.452856
2013-10-29,Google,510.060059,518.638611
2013-10-29,Meta,50.73,49.400002
2013-10-29,Tesla,10.850667,10.964667
2013-10-30,Apple,18.557501,18.746429
2013-10-30,Google,519.234253,515.725708
2013-10-30,Meta,50.0,49.009998
2013-10-30,Tesla,10.975333,10.614667
2013-10-31,Apple,18.75,18.667856
2013-10-31,Google,514.97998,515.805786
2013-10-31,Meta,47.16,50.209999
2013-10-31,Tesla,10.378,10.662667
2013-11-01,Apple,18.715,18.5725
2013-11-01,Google,516.411438,514.034058
2013-11-01,Meta,50.849998,49.75
2013-11-01,Tesla,10.866667,10.811333
2013-11-04,Apple,18.610714,18.8125
2013-11-04,Google,516.266296,513.568542
2013-11-04,Meta,49.369999,48.220001
2013-11-04,Tesla,11.0,11.68
2013-11-05,Apple,18.735001,18.766071
2013-11-05,Google,510.685699,511.271271
2013-11-05,Meta,47.790001,50.110001
2013-11-05,Tesla,12.0,11.787333
2013-11-06,Apple,18.719643,18.604286
2013-11-06,Google,513.313293,511.886902
2013-11-06,Meta,50.259998,49.119999
2013-11-06,Tesla,10.320667,10.077333
2013-11-07,Apple,18.556429,18.303213
2013-11-07,Google,511.816803,504.479492
2013-11-07,Meta,49.240002,47.560001
